run,he,mode,loss,train_f1,val_f1,test_f1
0,0.1921397447586059,learned,0.0785727500915527,1.0,0.825,0.7843137254901961
1,0.1921397447586059,learned,0.047020636498928,1.0,0.8125,0.7450980392156863
2,0.1921397447586059,learned,0.043642483651638,0.9583333333333334,0.825,0.7058823529411765
3,0.1921397447586059,learned,0.0463630892336368,0.9833333333333332,0.8125,0.7647058823529411
4,0.19213974475860596,learned,0.05555279180407524,1.0,0.8375,0.7843137254901961
